Cluster	b1_WT_rep1	b1_WT_rep2	b2_WT_rep1	b1_clsy12	b2_clsy12	b1_clsy3	b2_clsy3	b1_clsy4	b2_clsy4	b1_clsy34	b2_clsy34	b1_pol_iv	b2_pol_iv	b1_rim22_3	b2_rim22_3	b2_rim22_2	b1_rim22_2
merged_1_15684213	3.15	2.74	1.84	2.23	1.29	4.85	4.01	1.74	1.35	5.84	4.34	0.27	0.15	3.66	3.44	2.11	3.24
merged_5_13092846	3.22	2.06	1.18	2.28	1.29	3.41	1.83	1.61	0.64	2.74	0.7	0.12	0	4.16	2.12	2.82	7.4
merged_1_23876250	12.84	10.52	6.24	0.41	0.61	18.88	14.1	12.65	7.48	18.76	13.38	0.23	0.17	14.56	13.85	8.2	11.67
merged_4_7434765	19.9	22.4	13.54	0.44	0.28	30.2	26.66	45.19	19.37	68.26	44.48	1.28	0.28	38.6	20.38	14.06	25.3
merged_1_21857683	22.85	22.11	21.74	4.2	3.54	33.08	28.49	33.73	26.69	60.4	67.81	1.77	0.22	36.5	47.92	18.26	28.85
merged_2_6088905	57.01	55.54	33.51	3.34	1.35	72.21	45.94	43.59	17.3	74.83	42.55	1.25	0.57	68.35	34.82	19.71	51.33
merged_2_2954446	3.09	4.72	2.61	4.13	1.26	5.45	4.78	5.94	1.97	5.4	5.22	0	0.21	6.19	6.71	8.02	11.88
merged_2_1167256	18.68	25.92	16.37	2.35	1.91	44.38	45.1	36.09	30.82	48.79	51.4	1.33	0.73	36.07	22.74	20.62	26.55
merged_4_2337922	33	31.15	9.98	25.8	13.18	15.84	9.55	19.94	6.23	2.12	1.19	0.59	0	41.76	38.09	25.15	42.74
merged_4_7718435	15.82	18.13	8.26	0.33	0	28.59	13.73	16.8	7.89	37.65	15.45	0.27	0.21	26.58	12.35	9.78	20.95
merged_5_15402201	7.17	5.59	7.45	0.55	0.17	7.79	10.34	8.13	4.89	9.31	7.24	0.45	0.09	13.59	6.95	12.45	17.92
merged_1_23861859	75.6	76.63	106.35	2.98	2.99	168.8	186.1	71.99	62.97	181.91	173.65	3.89	1.24	170.24	220.16	67.16	81.39
merged_1_11314850	9.23	13.74	10.19	1.98	0.96	22.36	16.14	18.64	9.07	32.97	15.36	0.75	0.38	13.55	21.15	18.94	19.61
merged_2_6152728	13.17	10.83	12.3	0.99	0.81	17.35	19	12.54	7.42	13.57	8.65	0.12	0.03	19.63	17.72	5.84	12.67
merged_1_19767894	19.03	21.03	11.2	0.37	0.35	45.25	31.26	27.75	11.54	38.7	32.53	1.22	0.12	27.13	14.44	15.9	23.16
merged_5_3549747	61.65	68.58	70.94	1.35	0.28	113.01	86.98	72.26	64.52	121.31	118.71	2.96	0.84	67.1	56.95	46.1	60.41
merged_3_12174952	1.54	2.34	1.8	0.49	0.46	3.4	1.75	1.97	0.68	2.62	1.39	0.2	0.03	2.22	2.2	1.68	2.16
merged_1_14143505	3.92	3.87	3.15	3.2	3.48	4.52	4.53	0.88	0.5	0.71	0.31	0.16	0.02	3.26	3.06	4.61	5.41
merged_1_4329778	9.94	9.38	8.04	0.78	0.56	17.26	13.82	12.32	7.97	17.06	13.96	0.35	0.14	11.31	10.14	10.21	10.85
merged_5_10377834	0.96	0.91	0.85	0.94	1.41	0.73	0.43	0.92	0.47	0	0	0.19	0	1.21	0.32	1.42	1.86
merged_1_13166188	19.07	17.32	10.11	1.27	1.6	22.95	23.9	21.07	13.27	32.27	26.16	1.24	0.15	25.72	14.75	10.29	13.44
merged_1_5171811	213.15	239.29	260.92	3.97	2.27	435.26	430.58	427.7	333.18	754.5	705.63	13.42	4.59	314.82	336.3	246.67	279.85
merged_4_10902895	4.45	7.56	5.19	5.44	4.82	11.64	8.73	10.01	5.41	7.1	5.84	0	0.17	18.41	14.43	10.68	17.7
merged_4_6465102	2.78	3.11	3.25	0.73	0.12	7.18	4.42	6.09	3.27	7.56	7.4	0.45	0	3.2	2.67	2.48	4.76
merged_3_7600049	14.02	20.96	13.35	1.38	0.6	28.12	22.86	22.56	12.72	37.93	25.66	1.21	0.11	16.86	13.05	12.91	20.78
merged_3_17366345	12.68	10.36	5.29	5.75	3.24	16.97	12.63	11.75	5.68	6.77	4.68	0.32	0	23.09	24.07	11.15	26.17
merged_5_17985782	2.84	2.42	1.14	0.44	0.94	6.6	2.38	5.41	0.98	9.16	4.01	0.14	0.16	3.95	1.74	1.1	3.79
merged_5_10422381	6.94	6.6	6.11	8.91	7.06	2.65	4.1	1.3	2.46	1.48	1.29	0	0.12	11.98	10.36	8.55	15.13
merged_1_13742744	2.79	1.6	1.05	1.6	0.91	3.13	2.43	3.08	1.06	5.56	3.02	0	0.3	4.32	3.89	1.32	5.69
merged_5_14184139	8.88	7.68	4.23	12.29	5.19	9.91	4	2.56	3.49	0.85	0	0	0	11.65	10.45	13.05	13.57
merged_2_18971689	13.87	17.02	8.4	0.42	0.49	27.12	17.27	20.97	8.27	36.37	19.74	0.39	0.41	23.74	13.51	12.5	19.66
merged_1_22112473	16.74	12.76	8.95	1.18	0.81	20.64	11.89	12.17	7.04	19.43	11.3	1.05	0.23	24.58	14.84	10.96	18.03
merged_3_13586031	20.89	16.05	9.71	2.47	3.16	24.07	17.38	18.86	8.12	29.4	14.97	1.27	0.28	20.73	16.63	10.87	22.13
merged_5_13827602	23.74	24.64	19.99	5.27	5.56	34.84	31.98	27.63	18.79	42.1	31.21	1.06	0.42	30.54	24.2	18.42	24.65
